Time (Sec),Analog Input 0,Analog Input 1, Analog Input 4
1.98,2.49,3.06,1.6
1.99,2.53,3.15,1.63
2.0,2.3,3.14,1.53
2.01,2.34,3.2,1.64
2.02,2.45,3.19,1.54
2.03,2.42,3.14,1.58
2.04,2.52,3.21,1.59
2.05,2.53,3.13,1.51
2.06,2.53,3.17,1.63
2.07,2.61,3.17,1.52
2.08,2.54,3.13,1.59
2.09,2.69,3.22,1.73
2.1,2.65,3.13,1.71
2.11,2.73,3.28,1.82
2.12,2.69,3.18,1.57
2.13,2.61,3.11,1.58
2.14,2.67,3.21,1.62
2.15,2.58,3.05,1.5
2.16,2.59,3.14,1.7
2.17,2.68,3.15,1.62
2.18,2.53,3.04,1.59
2.19,2.64,3.16,1.71
2.2,1.52,3.2,1.77
2.21,1.57,3.29,1.7
2.22,1.42,3.19,1.51
2.23,1.35,3.13,1.56
2.24,1.37,3.2,1.57
2.25,1.35,3.11,1.49
2.26,1.33,3.18,1.59
2.27,1.36,3.17,1.49
2.28,1.34,3.13,1.53
2.29,1.36,3.2,1.56
2.3,1.37,3.12,1.49
2.31,1.37,3.18,1.6
2.32,1.43,3.18,1.5
2.33,1.44,3.14,1.55
2.34,1.5,3.21,1.57
2.35,1.56,3.13,1.5
2.36,1.64,3.19,1.61
2.37,1.79,3.18,1.52
2.38,1.86,3.15,1.58
2.39,2.03,3.24,1.64
2.4,2.52,3.02,1.54
2.41,2.5,3.09,1.67
2.42,2.57,3.1,1.6
2.43,2.54,3.06,1.63
2.44,2.55,3.11,1.61
2.45,2.49,3.02,1.52
2.46,2.47,3.06,1.62
2.47,2.51,3.06,1.5
2.48,2.44,3.01,1.54
2.49,2.48,3.06,1.56
2.5,2.46,2.99,1.48
2.51,2.44,3.05,1.59
2.52,2.49,3.04,1.48
2.53,2.43,3.0,1.52
2.54,2.48,3.06,1.53
2.55,2.45,2.97,1.45
2.56,2.44,3.04,1.56
2.57,2.48,3.05,1.55
2.58,2.48,3.06,1.6
2.59,2.34,3.18,1.65
2.6,2.52,3.16,1.63
2.61,2.55,3.17,1.67
2.62,2.51,3.16,1.59
2.63,2.46,3.17,1.66
2.64,2.56,3.17,1.8
2.65,2.58,3.13,1.67
2.66,2.55,3.17,1.75
2.67,2.62,3.19,1.68
2.68,2.58,3.11,1.77
2.69,2.59,3.2,1.78
2.7,2.58,3.14,1.75
2.71,2.6,3.2,1.83
2.72,2.66,3.19,1.74
2.73,2.61,3.15,1.75
2.74,2.63,3.19,1.77
2.75,2.6,3.12,1.72
2.76,2.62,3.19,1.86
2.77,2.68,3.16,1.72
2.78,2.58,3.12,1.74
2.79,2.62,3.18,1.77
2.8,1.34,3.09,1.51
2.81,1.33,3.15,1.62
2.82,1.35,3.14,1.51
2.83,1.33,3.1,1.56
2.84,1.35,3.16,1.58
2.85,1.35,3.09,1.51
2.86,1.35,3.15,1.61
2.87,1.38,3.14,1.51
2.88,1.38,3.11,1.56
2.89,1.42,3.17,1.57
2.9,1.45,3.09,1.5
2.91,1.48,3.16,1.61
2.92,1.56,3.15,1.51
2.93,1.63,3.11,1.55
2.94,1.77,3.17,1.56
2.95,1.88,3.09,1.49
2.96,1.98,3.14,1.6
2.97,2.13,3.13,1.49
2.98,2.16,3.07,1.54
2.99,2.31,3.14,1.56
3.0,2.6,3.05,1.59
3.01,2.59,3.11,1.69
3.02,2.64,3.1,1.59
3.03,2.56,3.06,1.65
3.04,2.61,3.13,1.66
3.05,2.57,3.05,1.6
3.06,2.56,3.11,1.71
3.07,2.61,3.11,1.61
3.08,2.53,3.07,1.66
3.09,2.58,3.14,1.68
3.1,2.55,3.06,1.61
3.11,2.54,3.13,1.7
3.12,2.58,3.13,1.61
3.13,2.47,3.05,1.56
3.14,2.44,3.13,1.61
3.15,2.31,3.1,1.57
3.16,2.02,3.19,1.74
3.17,1.88,3.2,1.62
3.18,1.75,3.16,1.66
3.19,1.68,3.21,1.67
3.2,2.51,3.05,1.59
3.21,2.53,3.15,1.75
3.22,2.59,3.14,1.64
3.23,2.52,3.11,1.82
3.24,2.58,3.16,1.73
3.25,2.58,3.13,1.72
3.26,2.61,3.2,1.84
3.27,2.65,3.17,1.72
3.28,2.63,3.12,1.76
3.29,2.53,3.1,1.59
3.3,2.49,3.02,1.53
3.31,2.49,3.09,1.65
3.32,2.55,3.07,1.53
3.33,2.49,3.04,1.6
3.34,2.56,3.11,1.63
3.35,2.55,3.05,1.57
3.36,2.56,3.11,1.69
3.37,2.62,3.1,1.58
3.38,2.55,3.06,1.63
3.39,2.62,3.12,1.64
3.4,1.43,3.13,1.56
3.41,1.42,3.2,1.67
3.42,1.44,3.18,1.57
3.43,1.41,3.15,1.62
3.44,1.44,3.21,1.63
3.45,1.43,3.14,1.57
3.46,1.43,3.2,1.68
3.47,1.47,3.19,1.57
3.48,1.46,3.17,1.62
3.49,1.51,3.22,1.63
3.5,1.55,3.15,1.57
3.51,1.62,3.21,1.68
3.52,1.76,3.19,1.56
3.53,1.84,3.16,1.61
3.54,2.01,3.22,1.62
3.55,2.08,3.14,1.57
3.56,2.17,3.21,1.64
3.57,2.25,3.15,1.52
3.58,2.25,3.1,1.57
3.59,2.37,3.16,1.57
3.6,2.53,3.02,1.53
3.61,2.52,3.08,1.63
3.62,2.57,3.07,1.53
3.63,2.5,3.04,1.58
3.64,2.54,3.1,1.58
3.65,2.51,3.02,1.52
3.66,2.5,3.08,1.61
3.67,2.55,3.07,1.52
3.68,2.48,3.05,1.57
3.69,2.52,3.12,1.59
3.7,2.39,3.07,1.52
3.71,2.19,3.16,1.65
3.72,1.89,3.16,1.58
3.73,1.69,3.14,1.62
3.74,1.61,3.21,1.64
3.75,1.55,3.13,1.57
3.76,1.49,3.19,1.68
3.77,1.48,3.18,1.57
3.78,1.43,3.14,1.62
3.79,1.43,3.2,1.62
3.8,2.54,3.09,1.63
3.81,2.57,3.16,1.74
3.82,2.61,3.14,1.66
3.83,2.57,3.13,1.72
3.84,2.6,3.19,1.76
3.85,2.61,3.13,1.7
3.86,2.59,3.17,1.76
3.87,2.62,3.14,1.63
3.88,2.52,3.09,1.65
3.89,2.56,3.14,1.65
3.9,2.53,3.05,1.58
3.91,2.51,3.12,1.69
3.92,2.57,3.1,1.59
3.93,2.5,3.07,1.65
3.94,2.57,3.15,1.67
3.95,2.54,3.08,1.61
3.96,2.54,3.14,1.72
3.97,2.6,3.13,1.62
3.98,2.53,3.09,1.67
3.99,2.58,3.15,1.66
4.0,1.54,3.13,1.6
4.01,1.57,3.2,1.72
4.02,1.63,3.17,1.59
4.03,1.68,3.13,1.65
4.04,1.83,3.21,1.67
4.05,1.92,3.13,1.62
4.06,2.02,3.19,1.72
4.07,2.21,3.16,1.62
4.08,2.3,3.13,1.7
4.09,2.51,3.25,1.76
4.1,2.44,3.09,1.64
4.11,2.51,3.16,1.73
4.12,2.67,3.2,1.79
4.13,2.62,3.11,1.68
4.14,2.6,3.2,1.75
4.15,2.63,3.17,1.71
4.16,2.65,3.21,1.77
4.17,2.65,3.2,1.63
4.18,2.49,3.1,1.64
4.19,2.54,3.19,1.72
4.2,2.64,3.16,1.76
4.21,2.65,3.23,1.86
4.22,2.69,3.21,1.73
4.23,2.63,3.19,1.79
4.24,2.67,3.25,1.78
4.25,2.64,3.16,1.64
4.26,2.59,3.27,1.82
4.27,2.63,3.25,1.8
4.28,2.38,3.26,1.8
4.29,2.21,3.3,1.79
4.3,1.99,3.22,1.73
4.31,1.85,3.28,1.83
4.32,1.79,3.27,1.72
4.33,1.72,3.23,1.77
4.34,1.7,3.29,1.77
4.35,1.67,3.21,1.71
4.36,1.64,3.27,1.81
4.37,1.65,3.26,1.71
4.38,1.61,3.22,1.76
4.39,1.61,3.28,1.77
4.4,2.59,3.12,1.67
4.41,2.59,3.19,1.78
4.42,2.65,3.17,1.68
4.43,2.59,3.14,1.74
4.44,2.64,3.2,1.74
4.45,2.6,3.13,1.68
4.46,2.61,3.2,1.79
4.47,2.66,3.17,1.68
4.48,2.59,3.15,1.74
4.49,2.65,3.21,1.75
4.5,2.61,3.13,1.69
4.51,2.61,3.2,1.81
4.52,2.67,3.19,1.7
4.53,2.6,3.15,1.75
4.54,2.65,3.21,1.76
4.55,2.61,3.14,1.7
4.56,2.61,3.2,1.81
4.57,2.66,3.18,1.69
4.58,2.58,3.15,1.75
4.59,2.63,3.21,1.75
4.6,1.88,3.13,1.6
4.61,1.96,3.19,1.7
4.62,2.09,3.16,1.58
4.63,2.17,3.12,1.63
4.64,2.35,3.18,1.71
4.65,2.48,3.1,1.6
4.66,2.48,3.2,1.78
4.67,2.53,3.14,1.59
4.68,2.42,3.13,1.66
4.69,2.54,3.26,1.85
4.7,2.64,3.14,1.62
4.71,2.53,3.2,1.72
4.72,2.58,3.16,1.75
