Time (Sec),Analog Input 0,Analog Input 1,Analog Input 6,Analog Input 7
0.158,4.48,3.71,2.64,2.0
0.159,4.41,3.64,2.65,2.01
0.16,4.34,3.56,2.65,2.01
0.161,4.27,3.49,2.66,2.02
0.162,4.2,3.43,2.66,2.02
0.163,4.13,3.36,2.66,2.02
0.164,4.07,3.3,2.66,2.03
0.165,2.81,2.0,2.61,1.98
0.166,2.79,1.98,2.6,1.97
0.167,2.78,1.97,2.59,1.96
0.168,2.77,1.95,2.58,1.96
0.169,2.75,1.94,2.58,1.96
0.17,2.74,1.92,2.58,1.96
0.171,2.74,1.92,2.58,1.96
0.172,2.73,1.9,2.58,1.96
0.173,2.72,1.9,2.58,1.96
0.174,2.71,1.89,2.58,1.96
0.175,2.71,1.88,2.58,1.96
0.176,2.72,1.87,2.59,1.97
0.177,2.72,1.87,2.6,1.98
0.178,2.72,1.86,2.6,1.98
0.179,2.72,1.86,2.61,1.99
0.18,4.93,4.39,2.7,2.04
0.181,4.93,4.39,2.69,2.03
0.182,4.93,4.39,2.68,2.03
0.183,4.93,4.4,2.68,2.02
0.184,4.93,4.4,2.67,2.02
0.185,4.93,4.39,2.66,2.01
0.186,4.92,4.4,2.65,2.0
0.187,4.93,4.4,2.64,1.99
0.188,4.93,4.4,2.63,1.99
0.189,4.93,4.4,2.63,1.98
0.19,4.93,4.4,2.63,1.98
0.191,4.93,4.4,2.62,1.97
0.192,4.93,4.4,2.62,1.97
0.193,4.93,4.4,2.62,1.97
0.194,4.93,4.4,2.62,1.98
0.195,4.94,4.41,2.71,2.05
0.196,4.93,4.41,2.7,2.05
0.197,4.93,4.4,2.71,2.05
0.198,4.93,4.41,2.72,2.06
0.199,4.94,4.42,2.72,2.05
0.2,4.93,4.42,2.71,2.05
0.201,4.93,4.41,2.71,2.05
0.202,4.93,4.41,2.7,2.04
0.203,4.93,4.41,2.69,2.03
0.204,4.93,4.41,2.68,2.03
0.205,4.93,4.41,2.68,2.02
0.206,4.93,4.41,2.67,2.01
0.207,4.93,4.41,2.66,2.01
0.208,4.93,4.41,2.65,2.0
0.209,4.93,4.42,2.64,1.99
0.21,4.07,3.32,2.63,1.99
0.211,4.0,3.25,2.63,1.99
0.212,3.94,3.19,2.64,2.0
0.213,3.88,3.14,2.65,2.01
0.214,3.83,3.09,2.66,2.02
0.215,3.77,3.04,2.66,2.03
0.216,3.72,2.99,2.67,2.03
0.217,3.67,2.94,2.67,2.03
0.218,3.63,2.9,2.68,2.04
0.219,3.59,2.86,2.68,2.04
0.22,3.55,2.82,2.68,2.04
0.221,3.5,2.77,2.68,2.04
0.222,3.46,2.74,2.67,2.03
0.223,3.41,2.69,2.67,2.03
0.224,3.37,2.65,2.66,2.02
0.225,2.62,1.79,2.57,1.95
0.226,2.62,1.79,2.57,1.95
0.227,2.63,1.78,2.58,1.96
0.228,2.63,1.78,2.58,1.96
0.229,2.63,1.78,2.59,1.97
0.23,2.64,1.77,2.59,1.98
0.231,2.64,1.77,2.6,1.98
0.232,2.64,1.76,2.61,1.98
0.233,2.65,1.76,2.62,2.0
0.234,2.67,1.77,2.63,2.0
0.235,2.67,1.76,2.64,2.01
0.236,2.68,1.76,2.64,2.01
0.237,2.68,1.76,2.65,2.02
0.238,2.69,1.76,2.65,2.02
0.239,2.7,1.76,2.67,2.03
0.24,4.93,4.41,2.64,1.99
0.241,4.94,4.41,2.64,1.98
0.242,4.94,4.42,2.63,1.97
0.243,4.93,4.41,2.62,1.96
0.244,4.93,4.41,2.62,1.97
0.245,4.93,4.41,2.62,1.97
0.246,4.94,4.41,2.62,1.97
0.247,4.94,4.42,2.62,1.97
0.248,4.94,4.41,2.62,1.97
0.249,4.93,4.4,2.62,1.97
0.25,4.93,4.41,2.63,1.98
0.251,4.94,4.41,2.64,1.98
0.252,4.93,4.41,2.65,1.99
0.253,4.93,4.41,2.65,2.0
0.254,4.92,4.4,2.65,2.0
0.255,4.93,4.41,2.69,2.03
0.256,4.92,4.4,2.68,2.02
0.257,4.93,4.4,2.68,2.02
0.258,4.93,4.4,2.67,2.01
0.259,4.91,4.39,2.65,2.0
0.26,4.92,4.4,2.65,1.99
0.261,4.94,4.41,2.65,1.99
0.262,4.94,4.41,2.64,1.98
0.263,4.93,4.4,2.63,1.97
0.264,4.93,4.41,2.62,1.97
0.265,4.93,4.41,2.62,1.96
0.266,4.93,4.41,2.62,1.97
0.267,4.93,4.41,2.62,1.97
0.268,4.93,4.41,2.62,1.97
0.269,4.93,4.4,2.62,1.97
0.27,3.48,2.75,2.65,2.01
0.271,3.45,2.72,2.65,2.02
0.272,3.42,2.69,2.67,2.02
0.273,3.39,2.65,2.66,2.02
0.274,3.36,2.61,2.66,2.02
0.275,3.31,2.58,2.65,2.01
0.276,3.29,2.55,2.66,2.01
0.277,3.26,2.52,2.65,2.01
0.278,3.23,2.49,2.64,2.01
0.279,3.19,2.46,2.64,2.0
0.28,3.16,2.42,2.63,1.99
0.281,3.13,2.4,2.62,1.98
0.282,3.09,2.36,2.61,1.98
0.283,3.06,2.34,2.6,1.97
0.284,3.03,2.3,2.59,1.96
0.285,2.7,1.76,2.6,1.98
0.286,2.71,1.77,2.61,1.98
0.287,2.76,1.87,2.62,1.99
0.288,3.73,2.58,2.63,2.0
0.289,4.44,3.25,2.64,2.0
0.29,4.71,3.69,2.64,2.01
0.291,4.82,3.96,2.65,2.01
0.292,4.86,4.09,2.66,2.02
0.293,4.89,4.18,2.67,2.03
