Time (Sec),Analog Input 0,Analog Input 1
0.0,4.94,4.46
0.001,4.94,4.46
0.002,4.93,4.46
0.003,4.95,4.46
0.004,4.93,4.46
0.005,4.94,4.46
0.006,4.94,4.46
0.007,4.94,4.46
0.008,4.94,4.46
0.009,4.94,4.46
0.01,4.94,4.46
0.011,4.93,4.46
0.012,4.95,4.46
0.013,4.93,4.45
0.014,4.93,4.46
0.015,4.94,4.46
0.016,4.95,4.47
0.017,4.94,4.47
0.018,4.95,4.47
0.019,4.94,4.46
0.02,4.94,4.47
0.021,4.93,4.46
0.022,4.94,4.47
0.023,4.94,4.48
0.024,4.96,4.32
0.025,4.8,4.1
0.026,4.67,3.92
0.027,4.52,3.77
0.028,4.4,3.64
0.029,4.26,3.52
0.03,3.15,2.4
0.031,3.14,2.39
0.032,3.15,2.39
0.033,3.15,2.39
0.034,3.17,2.4
0.035,3.19,2.41
0.036,3.21,2.42
0.037,3.24,2.43
0.038,3.25,2.43
0.039,3.26,2.43
0.04,3.26,2.43
0.041,3.25,2.41
0.042,3.24,2.39
0.043,3.2,2.37
0.044,3.18,2.35
0.045,3.15,2.32
0.046,3.13,2.31
0.047,3.13,2.3
0.048,3.13,2.31
0.049,3.14,2.31
0.05,3.15,2.32
0.051,3.18,2.34
0.052,3.21,2.36
0.053,3.24,2.38
0.054,3.27,2.39
0.055,3.28,2.39
0.056,3.29,2.4
0.057,3.29,2.39
0.058,3.28,2.37
0.059,3.26,2.36
0.06,3.31,2.35
0.061,3.31,2.35
0.062,3.28,2.32
0.063,3.26,2.31
0.064,3.66,3.16
0.065,4.72,3.96
0.066,4.89,4.24
0.067,4.92,4.32
0.068,4.93,4.37
0.069,4.93,4.4
0.07,4.94,4.41
0.071,4.94,4.42
0.072,4.93,4.44
0.073,4.94,4.44
0.074,4.94,4.45
0.075,4.94,4.44
0.076,4.94,4.46
0.077,4.94,4.45
0.078,4.94,4.45
0.079,4.94,4.46
0.08,4.94,4.45
0.081,4.94,4.46
0.082,4.94,4.45
0.083,4.94,4.46
0.084,4.94,4.45
0.085,4.94,4.47
0.086,4.96,4.46
0.087,4.92,4.45
0.088,4.96,4.48
0.089,4.95,4.46
0.09,4.94,4.46
0.091,4.96,4.48
0.092,4.95,4.46
0.093,4.94,4.46
0.094,4.86,4.16
0.095,4.71,3.98
0.096,4.59,3.83
0.097,4.46,3.7
0.098,4.33,3.58
0.099,4.21,3.47
0.1,4.09,3.36
0.101,3.98,3.26
0.102,3.87,3.18
0.103,3.78,3.1
0.104,3.7,3.04
0.105,3.63,2.97
0.106,3.57,2.93
0.107,3.54,2.88
0.108,3.51,2.86
0.109,3.49,2.83
0.11,3.47,2.8
0.111,3.46,2.78
0.112,3.44,2.76
0.113,3.42,2.73
0.114,3.4,2.7
0.115,3.36,2.66
0.116,3.32,2.63
0.117,3.28,2.58
0.118,3.25,2.56
0.119,3.22,2.52
0.12,3.2,2.34
0.121,3.17,2.31
0.122,3.15,2.45
0.123,4.31,3.6
0.124,4.82,4.14
0.125,4.9,4.29
0.126,4.93,4.35
0.127,4.93,4.39
0.128,4.94,4.41
0.129,4.94,4.42
0.13,4.94,4.43
0.131,4.94,4.44
0.132,4.94,4.44
0.133,4.94,4.45
0.134,4.94,4.45
0.135,4.94,4.45
0.136,4.94,4.46
0.137,4.94,4.45
0.138,4.94,4.46
0.139,4.94,4.46
0.14,4.94,4.46
0.141,4.94,4.45
0.142,4.94,4.46
0.143,4.94,4.46
0.144,4.94,4.46
0.145,4.94,4.46
0.146,4.94,4.46
0.147,4.94,4.45
0.148,4.94,4.47
0.149,4.94,4.45
0.15,3.88,3.18
0.151,3.82,3.13
0.152,3.76,3.06
0.153,3.7,3.01
0.154,3.65,2.96
0.155,3.59,2.9
0.156,3.53,2.84
0.157,3.46,2.79
0.158,3.41,2.74
0.159,3.36,2.7
0.16,3.32,2.67
0.161,3.29,2.64
0.162,3.28,2.62
0.163,3.27,2.6
0.164,3.28,2.6
0.165,3.29,2.6
0.166,3.31,2.6
0.167,3.32,2.6
0.168,3.33,2.6
0.169,3.33,2.58
0.17,3.32,2.57
0.171,3.31,2.55
0.172,3.28,2.52
0.173,3.26,2.49
0.174,3.22,2.47
0.175,3.19,2.43
0.176,3.16,2.42
0.177,3.15,2.4
0.178,3.14,2.39
0.179,3.15,2.39
0.18,3.15,2.27
0.181,3.14,2.27
0.182,3.15,2.27
0.183,3.16,2.28
0.184,3.18,2.3
0.185,3.2,2.31
0.186,3.23,2.33
0.187,3.25,2.34
0.188,3.27,2.36
0.189,3.29,2.36
0.19,3.28,2.36
0.191,3.28,2.35
0.192,3.26,2.33
0.193,3.23,2.3
0.194,3.2,2.28
0.195,3.17,2.26
0.196,3.16,2.28
0.197,4.08,3.42
0.198,4.79,4.08
0.199,4.9,4.26
0.2,4.91,4.34
0.201,4.94,4.38
0.202,4.93,4.4
0.203,4.94,4.42
0.204,4.94,4.43
0.205,4.94,4.43
0.206,4.94,4.45
0.207,4.94,4.45
0.208,4.94,4.45
0.209,4.95,4.45
0.21,4.94,4.46
0.211,4.94,4.46
0.212,4.94,4.46
0.213,4.94,4.27
0.214,4.78,4.07
0.215,4.65,3.88
0.216,4.5,3.74
0.217,4.37,3.61
0.218,4.24,3.5
0.219,4.13,3.39
0.22,4.03,3.3
0.221,3.94,3.23
0.222,3.86,3.16
0.223,3.8,3.1
0.224,3.74,3.05
0.225,3.7,3.0
0.226,3.65,2.96
0.227,3.6,2.9
0.228,3.55,2.86
0.229,3.5,2.8
0.23,3.44,2.75
0.231,3.39,2.7
0.232,3.34,2.66
0.233,3.31,2.63
0.234,3.27,2.6
0.235,3.26,2.58
0.236,3.25,2.56
0.237,3.26,2.56
0.238,3.28,2.56
0.239,3.29,2.56
0.24,3.18,2.31
0.241,3.19,2.32
0.242,3.22,2.34
0.243,3.25,2.35
0.244,3.27,2.37
0.245,3.29,2.38
0.246,3.3,2.38
0.247,3.31,2.37
0.248,3.28,2.36
0.249,3.27,2.34
0.25,3.23,2.31
